gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,ClearScore,ChaseBaseScore,HoldBaseScore,CommitmentBonus,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth
1,child6,child,5.0968,0.000,0.000,0.000,0.000,4.000,324.467,0.900,111.000,0.993,14.333,921.4,1201,94.87,61.39,9.576,1.184,0.7931,0.7457,25.68,0.01641,30.51,9.591,18.29,49.89,12.85,8.692,62.87,72.32,48.11,13.18,0.4346,0.7454,0.8523,0.4785,1
1,child7,child,11.8070,3.000,0.000,3.000,0.000,4.000,197.200,1.077,110.000,2.020,11.733,1031,1355,119,60.78,9.791,1.378,0.9186,0.8241,25.23,0.02118,25.68,13.03,19.88,58.52,13.97,8.819,54.27,85.4,49.05,13.56,0.5315,0.6449,1,0.4139,1
2,parent,parent,4.2322,1.000,0.000,1.000,0.000,1.000,118.317,1.225,70.000,0.933,11.533,1031,1355,119,60.78,9.791,1.378,0.9186,0.8241,25.23,0.02118,25.68,13.03,19.88,58.52,13.97,8.819,54.27,85.4,49.05,13.56,0.5315,0.6449,1,0.4139,1
2,child0,child,7.8479,2.000,0.000,2.000,0.000,2.000,168.150,0.466,88.000,1.767,10.917,1192,1242,128.5,58.65,11.72,1.346,0.8118,0.8185,27.99,0.0252,32.98,14.4,21.04,71.54,15.53,7.645,56.83,96.01,48.33,14.64,0.4408,0.6368,0.8665,0.3037,1
2,child1,child,14.1723,3.000,0.000,3.000,0.000,5.000,293.617,2.101,113.000,2.273,13.933,1097,1278,105.2,54.14,7.807,1.3,0.8552,0.9633,28.86,0.02212,25.48,12.88,23.55,54.33,13.71,8.485,48.95,77.25,37.83,15.2,0.482,0.7148,1,0.5065,1
2,child2,child,17.9782,4.000,0.000,4.000,0.000,5.000,329.083,2.702,123.000,2.193,15.050,1208,1626,139.3,60.6,8.125,1.367,0.9845,1.077,25.28,0.01822,25.58,15.09,18.73,44.06,13.01,9.864,51.48,88.88,43.26,16.02,0.4656,0.7642,1,0.4356,0.8577
2,child3,child,-0.3666,1.000,1.000,0.000,0.000,0.000,54.667,1.912,83.000,1.427,14.433,1232,1129,102.3,62.18,9.141,1.596,1.019,0.8815,23.54,0.02205,28.64,15.03,19.54,58.38,12.82,10.2,49.6,88.84,52.94,11.98,0.6192,0.6033,0.9922,0.406,0.9181
2,child4,child,7.7680,1.000,0.000,1.000,0.000,2.000,296.700,0.903,77.000,0.940,11.533,1076,1373,93.75,50.11,9.725,1.256,0.8968,0.7984,23.18,0.01894,30.88,14.26,21.89,59.29,14.66,8.402,49.62,94.72,51.61,13.59,0.4928,0.7083,1,0.3842,1
2,child5,child,-2.3287,0.000,1.000,-1.000,0.000,0.000,89.283,2.101,63.000,0.800,14.550,849.7,1421,128.2,51.02,8.498,1.367,0.827,0.7865,19.54,0.0181,24.21,13.06,20.5,62.11,16.52,8.166,50.86,95.49,33.82,11.84,0.5644,0.5062,0.8656,0.3371,1
2,child6,child,5.0917,1.000,0.000,1.000,0.000,2.000,174.683,2.569,148.000,1.013,15.050,1024,1436,111,59.5,10.53,1.305,0.9596,1.018,24.29,0.01893,29.2,12.58,17.39,69.36,13.27,9.238,52.37,101.8,60.84,12.98,0.5416,0.6622,1,0.3896,1
